#Data tag : 19v3 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 318876:6860 | 06/28/18 19:45:23 | 160  | 160  | 0.048736012    | 0.046587025   |
| 318877:6860 | 06/28/18 20:49:22 | 614  | 614  | 0.164807353    | 0.160299696   |
| 319077:6874 | 07/01/18 23:27:46 | 41   | 41   | 0.016847099    | 0.016371875   |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/fb) | totrecorded(/fb) |
+-------+------+-------+-------+-------------------+------------------+
| 24    | 44   | 26187 | 26187 | 7.309948087       | 7.060785241      |
+-------+------+-------+-------+-------------------+------------------+

#Check JSON:
#(run,ls) in json but not in results: []
#Data tag : 19v3 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 319337:6901 | 07/08/18 02:05:51 | 2193 | 2193 | 0.237348102    | 0.232388818   |
| 319347:6904 | 07/08/18 19:53:18 | 650  | 650  | 0.228713373    | 0.210514462   |
| 319348:6904 | 07/09/18 00:07:18 | 37   | 37   | 0.010960648    | 0.005006475   |
| 319349:6904 | 07/09/18 00:23:34 | 148  | 148  | 0.041965227    | 0.040843828   |
| 319449:6909 | 07/09/18 20:59:32 | 695  | 695  | 0.258525096    | 0.249173726   |
| 319450:6909 | 07/10/18 01:32:44 | 681  | 681  | 0.212504803    | 0.207045612   |
| 319456:6909 | 07/10/18 07:08:40 | 207  | 207  | 0.053518557    | 0.052015625   |
| 319459:6909 | 07/10/18 08:32:35 | 78   | 78   | 0.017641441    | 0.017212101   |
| 319486:6911 | 07/11/18 09:10:21 | 66   | 66   | 0.021061388    | 0.020314797   |
| 319503:6911 | 07/11/18 17:30:46 | 317  | 317  | 0.094813078    | 0.090959188   |
| 319524:6912 | 07/11/18 22:27:29 | 1424 | 1424 | 0.470771755    | 0.456701499   |
| 319526:6912 | 07/12/18 08:14:19 | 282  | 282  | 0.071759686    | 0.069659575   |
| 319528:6912 | 07/12/18 10:12:58 | 254  | 254  | 0.059799445    | 0.058410906   |
| 319579:6919 | 07/13/18 04:43:17 | 3128 | 3128 | 0.842700420    | 0.818490479   |
| 319625:6921 | 07/14/18 14:05:51 | 190  | 190  | 0.072958182    | 0.070596043   |
| 319639:6923 | 07/14/18 18:52:13 | 1477 | 1477 | 0.423097079    | 0.409340341   |
| 319656:6924 | 07/15/18 07:26:01 | 254  | 254  | 0.090586416    | 0.086471826   |
| 319657:6924 | 07/15/18 09:09:07 | 167  | 167  | 0.053752827    | 0.051824096   |
| 319658:6924 | 07/15/18 10:17:14 | 221  | 221  | 0.063644440    | 0.061716393   |
| 319659:6924 | 07/15/18 11:50:26 | 87   | 87   | 0.022608350    | 0.021787667   |
| 319678:6925 | 07/15/18 15:20:13 | 259  | 259  | 0.099052349    | 0.095424824   |
| 319687:6927 | 07/15/18 22:28:04 | 45   | 45   | 0.016486816    | 0.016052913   |
| 319697:6929 | 07/16/18 02:17:40 | 436  | 436  | 0.062719981    | 0.060561287   |
| 319698:6929 | 07/16/18 05:13:10 | 312  | 312  | 0.037203705    | 0.036295265   |
| 319756:6931 | 07/16/18 15:39:04 | 1923 | 1923 | 0.507084360    | 0.490204543   |
| 319840:6939 | 07/17/18 22:27:53 | 348  | 348  | 0.051262088    | 0.049718970   |
| 319841:6939 | 07/18/18 00:44:33 | 167  | 167  | 0.020840269    | 0.020280330   |
| 319847:6940 | 07/18/18 04:02:30 | 3    | 3    | 0.001330127    | 0.000903537   |
| 319848:6940 | 07/18/18 04:04:45 | 53   | 53   | 0.019928545    | 0.019081513   |
| 319849:6940 | 07/18/18 04:28:02 | 489  | 489  | 0.179264800    | 0.173552091   |
| 319851:6940 | 07/18/18 07:46:30 | 4    | 4    | 0.001250205    | 0.001137038   |
| 319853:6940 | 07/18/18 08:01:32 | 256  | 256  | 0.073307576    | 0.071203488   |
| 319854:6940 | 07/18/18 09:44:34 | 225  | 225  | 0.055235129    | 0.053716327   |
| 319908:6942 | 07/19/18 02:40:13 | 51   | 51   | 0.019578670    | 0.018295828   |
| 319909:6942 | 07/19/18 03:03:13 | 6    | 6    | 0.002326527    | 0.001120242   |
| 319910:6942 | 07/19/18 03:09:20 | 983  | 983  | 0.315473757    | 0.304865167   |
| 319912:6942 | 07/19/18 09:34:18 | 59   | 59   | 0.014171175    | 0.013437223   |
| 319913:6942 | 07/19/18 09:59:24 | 56   | 56   | 0.013018604    | 0.012566235   |
| 319914:6942 | 07/19/18 10:22:49 | 32   | 32   | 0.007252517    | 0.006879860   |
| 319915:6942 | 07/19/18 10:37:23 | 416  | 416  | 0.088940054    | 0.086802323   |
| 319941:6944 | 07/19/18 19:59:35 | 255  | 255  | 0.098650397    | 0.094417188   |
| 319942:6944 | 07/19/18 21:41:30 | 50   | 50   | 0.017942823    | 0.017468906   |
| 319950:6946 | 07/20/18 02:45:30 | 168  | 168  | 0.067839945    | 0.065935971   |
| 319991:6953 | 07/20/18 15:48:51 | 837  | 837  | 0.292529663    | 0.282111415   |
| 319992:6953 | 07/20/18 21:15:39 | 262  | 262  | 0.067833495    | 0.065586502   |
| 319993:6953 | 07/20/18 23:01:06 | 955  | 955  | 0.187746874    | 0.182675815   |
| 320002:6956 | 07/21/18 08:17:32 | 141  | 141  | 0.052523216    | 0.050203468   |
| 320006:6956 | 07/21/18 09:46:32 | 340  | 340  | 0.117879419    | 0.114140140   |
| 320010:6956 | 07/21/18 14:27:42 | 330  | 330  | 0.076664085    | 0.074676692   |
| 320011:6956 | 07/21/18 16:38:02 | 302  | 302  | 0.063113218    | 0.061138036   |
| 320012:6956 | 07/21/18 18:38:20 | 99   | 99   | 0.018711964    | 0.018060690   |
| 320023:6957 | 07/21/18 21:33:03 | 276  | 276  | 0.103950025    | 0.098834607   |
| 320024:6957 | 07/21/18 23:21:36 | 409  | 409  | 0.130155390    | 0.126440979   |
| 320025:6957 | 07/22/18 02:03:20 | 112  | 112  | 0.030947834    | 0.030113234   |
| 320026:6957 | 07/22/18 02:49:54 | 204  | 204  | 0.051564606    | 0.050085703   |
| 320038:6960 | 07/22/18 07:09:04 | 619  | 619  | 0.226789956    | 0.218712390   |
| 320039:6960 | 07/22/18 11:13:45 | 28   | 28   | 0.008538561    | 0.008200272   |
| 320040:6960 | 07/22/18 11:29:06 | 737  | 737  | 0.183359086    | 0.177428533   |
| 320059:6961 | 07/22/18 18:43:23 | 103  | 103  | 0.042809744    | 0.040908654   |
| 320060:6961 | 07/22/18 19:27:05 | 42   | 42   | 0.016524473    | 0.015725006   |
| 320061:6961 | 07/22/18 19:46:28 | 49   | 49   | 0.019093724    | 0.018270053   |
| 320062:6961 | 07/22/18 20:06:50 | 21   | 21   | 0.008000755    | 0.006956471   |
| 320063:6961 | 07/22/18 20:17:40 | 62   | 62   | 0.022963134    | 0.022166104   |
| 320064:6961 | 07/22/18 20:48:07 | 199  | 199  | 0.068056643    | 0.064866603   |
| 320065:6961 | 07/22/18 22:09:30 | 917  | 917  | 0.234250801    | 0.227086186   |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/fb) | totrecorded(/fb) |
+-------+------+-------+-------+-------------------+------------------+
| 23    | 65   | 26196 | 26196 | 7.142897397       | 6.894782080      |
+-------+------+-------+-------+-------------------+------------------+

#Check JSON:
#(run,ls) in json but not in results: []
#Data tag : 19v3 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 320673:7005 | 08/01/18 02:33:01 | 867  | 867  | 0.065886258    | 0.064592146   |
| 320674:7005 | 08/01/18 08:11:46 | 599  | 599  | 0.034307292    | 0.033749177   |
| 320688:7006 | 08/01/18 15:24:06 | 483  | 483  | 0.135321679    | 0.130855199   |
| 320712:7008 | 08/02/18 02:45:01 | 204  | 204  | 0.071961247    | 0.069579800   |
| 320757:7013 | 08/02/18 14:37:56 | 332  | 332  | 0.120886198    | 0.116683595   |
| 320804:7017 | 08/03/18 07:27:51 | 1225 | 1225 | 0.330167789    | 0.319033307   |
| 320807:7017 | 08/03/18 15:28:46 | 2    | 2    | 0.000377819    | 0.000348394   |
| 320809:7017 | 08/03/18 15:43:13 | 716  | 716  | 0.109016947    | 0.106230704   |
| 320821:7018 | 08/03/18 23:57:32 | 181  | 181  | 0.062971560    | 0.060432928   |
| 320822:7018 | 08/04/18 01:09:16 | 522  | 522  | 0.154770094    | 0.149814403   |
| 320823:7018 | 08/04/18 04:34:31 | 360  | 360  | 0.082833311    | 0.080025310   |
| 320824:7018 | 08/04/18 06:55:49 | 1051 | 1051 | 0.168366394    | 0.164020053   |
| 320838:7020 | 08/04/18 17:31:12 | 263  | 263  | 0.096206200    | 0.092366066   |
| 320840:7020 | 08/04/18 19:20:14 | 466  | 466  | 0.145326614    | 0.139843771   |
| 320841:7020 | 08/04/18 22:26:03 | 205  | 205  | 0.052347637    | 0.050468155   |
| 320853:7024 | 08/05/18 06:48:20 | 327  | 327  | 0.121669789    | 0.118065454   |
| 320854:7024 | 08/05/18 08:59:06 | 124  | 124  | 0.041082853    | 0.039644924   |
| 320855:7024 | 08/05/18 09:50:43 | 565  | 565  | 0.151991410    | 0.146559259   |
| 320856:7024 | 08/05/18 13:36:28 | 159  | 159  | 0.034598791    | 0.033490847   |
| 320857:7024 | 08/05/18 14:39:57 | 272  | 272  | 0.054740449    | 0.052859822   |
| 320858:7024 | 08/05/18 16:27:33 | 230  | 230  | 0.039032500    | 0.037521088   |
| 320859:7024 | 08/05/18 18:00:16 | 40   | 40   | 0.005145820    | 0.004926672   |
| 320887:7026 | 08/05/18 22:38:34 | 272  | 272  | 0.107453276    | 0.104361547   |
| 320888:7026 | 08/06/18 00:26:10 | 26   | 26   | 0.009764263    | 0.009500190   |
| 320916:7031 | 08/06/18 09:12:39 | 24   | 24   | 0.007336221    | 0.006635005   |
| 320917:7031 | 08/06/18 09:25:17 | 1925 | 1925 | 0.492546341    | 0.477801747   |
| 320920:7031 | 08/06/18 21:56:15 | 178  | 178  | 0.024669249    | 0.024013428   |
| 320933:7033 | 08/07/18 03:29:36 | 171  | 171  | 0.054125592    | 0.051965819   |
| 320934:7033 | 08/07/18 04:38:31 | 824  | 824  | 0.216999585    | 0.210460582   |
| 320936:7033 | 08/07/18 10:01:22 | 395  | 395  | 0.080608728    | 0.078319964   |
| 320941:7033 | 08/07/18 12:39:42 | 93   | 93   | 0.016178908    | 0.015638078   |
| 320980:7035 | 08/07/18 15:52:40 | 99   | 99   | 0.039561634    | 0.038407528   |
| 320995:7036 | 08/07/18 19:28:55 | 175  | 175  | 0.026906905    | 0.025796132   |
| 320996:7036 | 08/07/18 20:42:30 | 376  | 376  | 0.050076867    | 0.048288004   |
| 321004:7037 | 08/08/18 01:47:42 | 142  | 142  | 0.048647209    | 0.046906478   |
| 321005:7037 | 08/08/18 02:48:15 | 57   | 57   | 0.019956525    | 0.019195813   |
| 321006:7037 | 08/08/18 03:15:04 | 162  | 162  | 0.054086088    | 0.051704227   |
| 321007:7037 | 08/08/18 04:19:56 | 827  | 827  | 0.209248687    | 0.202763102   |
| 321009:7037 | 08/08/18 09:43:25 | 77   | 77   | 0.015125928    | 0.014732928   |
| 321010:7037 | 08/08/18 10:16:22 | 340  | 340  | 0.059403962    | 0.057206632   |
| 321011:7037 | 08/08/18 12:32:48 | 209  | 209  | 0.031247675    | 0.028948830   |
